"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2015","A","",119251,1890340,83690526044,14289391483,295276826,851,44273,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1799,1.5,26779,1.4,3022173057,3.7,371785845,2.7,-20850739,-6.6,19,2.3,986,2.3
"01000","1","10","51","0","2015","A","",1185,53014,4199053853,0,0,1523,79206,"",1.56,1.42,1.73,0.00,0.00,1.22,1.22,"",-1,-0.1,-477,-0.9,50862562,1.2,0,0.0,0,0.0,32,2.1,1656,2.1
"01000","2","10","51","0","2015","A","",1362,94347,4764138973,57045,507,971,50496,"",1.58,1.52,1.65,0.00,0.00,1.08,1.08,"",-40,-2.9,400,0.4,92308286,2.0,-3155,-5.2,-109,-17.7,15,1.6,768,1.5
"01000","3","10","51","0","2015","A","",3700,210813,8262592210,126218123,1811380,754,39194,"",1.75,1.12,1.11,0.63,1.12,0.99,0.99,"",-5,-0.1,-990,-0.5,135500373,1.7,105354,0.1,-152872,-7.8,16,2.2,823,2.1
"01000","5","10","51","0","2015","A","",113005,1532167,66464741008,14163116315,293464939,834,43380,"",0.98,0.96,0.94,1.01,1.00,0.98,0.98,"",1846,1.7,27847,1.9,2743501836,4.3,371683646,2.7,-20697758,-6.6,19,2.3,1021,2.4
"01000","8","10","96","0","2015","A","",6246,358173,17225785036,126275168,1811887,925,48093,"",1.67,1.25,1.35,0.45,0.98,1.08,1.08,"",-47,-0.7,-1068,-0.3,278671221,1.6,102199,0.1,-152981,-7.8,18,2.0,918,1.9
"01001","0","10","70","0","2015","A","",845,10587,372121908,70322187,1331524,676,35148,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,2.8,129,1.2,14125505,3.9,3436546,5.1,-9604,-0.7,18,2.7,916,2.7
"01001","1","10","71","0","2015","A","",11,77,4174693,0,0,1044,54276,"",2.04,0.37,0.39,0.00,0.00,1.05,1.05,"",-1,-8.3,-6,-7.2,103471,2.5,0,0.0,0,0.0,95,10.0,4928,10.0
"01001","2","10","71","0","2015","A","",18,515,21588871,0,0,806,41920,"",2.94,1.49,1.68,0.00,0.00,1.13,1.13,"",0,0.0,41,8.6,1513429,7.5,0,0.0,0,0.0,-9,-1.1,-471,-1.1
"01001","3","10","71","0","2015","A","",32,1903,67869188,116608,1037,686,35661,"",2.14,1.81,2.04,0.12,0.14,1.13,1.13,"",0,0.0,-7,-0.4,1686692,2.5,1008,0.9,8,0.8,20,3.0,1007,2.9
