"","ssuid","monthly_childcare_expenditure","k_under2","k_3to5","k_6to10","METRO","reg_ratio","criminal_records","daycare_regulations","monthly_job_hrs","monthly_wage","monthly_earned_income","monthly_unearned_income","education","age","log_expenditure","H","F","d1","d2","d3"
"1",114285765,0,0,1,0,1,7,1,1,0,0,0,0,12,23.1666666666667,0,0,0,1,0,0
"2",114552343,0,0,1,2,1,7,1,1,26.0416666666667,703.166666666667,703.166666666667,-644.569444444444,5,32.3333333333333,0,1,0,0,1,0
"3",114552369,0,0,0,1,1,7,1,1,31.8708333333333,1886.33333333333,1886.33333333333,-1709.55555555556,16,25.6666666666667,0,1,0,0,1,0
"4",418037420,0,1,2,0,1,7,1,1,0,0,0,0,16,26,0,0,0,1,0,0
"5",418086894,0,0,0,2,0,8,1,1,26.2083333333333,641.083333333333,641.083333333333,-511.826388888889,12,35.25,0,1,0,0,1,0
"6",418114194,0,1,2,1,1,7,1,1,39.0875,212.416666666667,212.416666666667,-191.548611111111,13,28.0833333333333,0,1,0,0,1,0
"7",418114602,0,0,0,1,1,7,1,1,48,1825,1825,-1665.48611111111,13,36,0,1,0,0,1,0
"8",418172676,0,1,0,0,1,8,1,1,0,0,0,0.0833333333333333,16,28.75,0,0,0,1,0,0
"9",418185142,0,1,1,1,1,8,1,1,0,0,0,0,10,35.0833333333333,0,0,0,1,0,0
"10",418185162,0,0,1,0,0,7,1,1,0,0,179,-149.166666666667,12,37.75,0,0,0,1,0,0
"11",418199950,651.857142857143,1,1,0,0,8,1,1,40,1922.16666666667,1922.16666666667,-1761.98611111111,16,27.75,6.47982543187209,1,1,0,0,0
"12",418209291,0,1,1,0,0,8,1,1,20,200,400,-383.083333333333,12,27.9166666666667,0,0,0,1,0,0
"13",418209316,0,1,1,0,0,8,1,1,40,4311,4611,-4251.75,13,26.9166666666667,0,1,0,0,1,0
"14",418209852,0,0,1,1,0,8,1,1,40,4018.75,4318.75,-3983.85416666667,14,33.1666666666667,0,1,0,0,1,0
"15",418215316,0,0,0,3,0,8,1,1,0,0,60.0833333333333,30.0069444444444,12,25,0,0,0,1,0,0
"16",418215449,0,0,0,1,0,8,1,1,13.3333333333333,253.166666666667,1465.66666666667,-1292.06944444444,11,39.8333333333333,0,0,0,1,0,0
"17",418276060,0,0,1,1,0,8,1,1,0,0,678,-594.75,13,33.75,0,0,0,1,0,0
"18",418294283,0,0,0,1,1,8,1,1,45,3760.16666666667,3760.16666666667,-3446.48611111111,16,39.5,0,1,0,0,1,0
"19",418303449,108.642857142857,0,1,0,1,8,1,1,20,1202,2402,-2301.83333333333,16,36.4166666666667,4.68806596264403,0,1,1,0,1
"20",418342067,0,1,0,1,1,8,1,1,0,0,0,10.0833333333333,13,29,0,0,0,1,0,0
"21",418359831,0,1,1,1,1,8,1,1,59,6392.5,6392.5,-5859.45833333333,21,35.0833333333333,0,1,0,0,1,0
"22",418406167,0,0,0,1,0,7,1,1,39.125,3842.33333333333,3842.33333333333,-3438.13888888889,16,34.1666666666667,0,1,0,0,1,0
"23",418406566,1303.71428571429,1,1,2,1,8,1,1,40,2846.25,2846.25,-2609.0625,13,31.6666666666667,7.17297261243203,1,1,0,0,0
"24",418406660,0,0,1,0,0,8,1,1,40.625,4437.5,4437.5,-4067.70833333333,16,31.25,0,1,0,0,1,0
"25",418408197,660.548571428571,0,1,0,0,8,1,1,12.9166666666667,851.333333333333,851.333333333333,-780.388888888889,18,32.75,6.49307065862211,0,1,1,0,1
"26",418408831,0,1,1,1,0,8,1,1,40,2255.83333333333,2255.83333333333,-2049.72222222222,12,28.6666666666667,0,1,0,0,1,0
"27",418415746,1738.28571428571,0,1,1,0,7,1,1,22,984.833333333333,984.833333333333,-858.5625,14,30.3333333333333,7.46065468488382,1,1,0,0,0
"28",418472070,291.162857142857,0,1,0,0,7,1,1,0.833333333333333,45.75,45.75,-37.7708333333333,12,35.6666666666667,5.6738827571668,0,1,1,0,1
"29",418472765,0,0,1,0,0,7,1,1,59,2828.75,2828.75,-2592.77083333333,14,25.8333333333333,0,1,0,0,1,0
"30",418500162,0,0,0,1,1,7,1,1,24,2924.91666666667,2924.91666666667,-2681.17361111111,14,37.8333333333333,0,1,0,0,1,0
"31",418500458,0,2,0,0,1,7,1,1,59,3593.16666666667,3593.16666666667,-3293.73611111111,16,38.5833333333333,0,1,0,0,1,0
"32",418500692,0,0,0,1,1,7,1,1,37,1086.08333333333,1086.08333333333,-995.576388888889,5,42.5833333333333,0,1,0,0,1,0
"33",418533619,0,0,0,2,0,8,1,1,0,0,0,0,13,34.1666666666667,0,0,0,1,0,0
"34",418533903,338.965714285714,0,0,1,1,8,1,1,40,5682,5682,-5208.5,16,45.4166666666667,5.82589896446543,1,1,0,0,0
"35",418552705,0,1,0,0,1,7,1,1,0.208333333333333,11.9166666666667,11.9166666666667,-10.9236111111111,12,25.1666666666667,0,0,0,1,0,0
"36",418597369,0,0,1,1,0,7,1,1,44.25,1019.16666666667,1019.16666666667,-934.236111111111,12,25.4166666666667,0,1,0,0,1,0
"37",418609494,0,1,0,0,1,8,1,1,37,1447.08333333333,1447.08333333333,-1325.82638888889,12,38.25,0,1,0,0,1,0
"38",418662431,130.371428571429,1,1,0,1,7,1,1,0,0,0,0,16,26.8333333333333,4.87038751943799,0,1,1,0,1
"39",418688207,0,0,1,0,1,8,1,1,0,0,0,0,16,35.8333333333333,0,0,0,1,0,0
"40",418756705,0,0,0,1,1,7,1,1,16.7916666666667,721.416666666667,1821.41666666667,-1657.96527777778,12,45.1666666666667,0,0,0,1,0,0
"41",418783705,0,0,0,1,1,7,1,1,9.375,342.083333333333,408.75,6.46527777777779,16,37.0833333333333,0,0,0,1,0,0
"42",418809291,0,1,0,1,1,8,1,1,0,0,0,0,12,36.8333333333333,0,0,0,1,0,0
"43",418828887,0,0,0,1,0,8,1,1,9.83333333333333,200,400,-383.333333333333,12,37.0833333333333,0,0,0,1,0,0
"44",418847138,0,0,1,0,1,7,1,1,40,1754.58333333333,1754.58333333333,-1554.63194444444,12,28.5,0,1,0,0,1,0
"45",418847804,0,0,0,1,1,7,1,1,0,0,0,0,7,33.25,0,0,0,1,0,0
"46",418847844,1086.42857142857,1,1,0,1,7,1,1,34,1858.33333333333,3058.33333333333,-2903.47222222222,16,29.1666666666667,6.99065105563808,1,1,0,0,0
"47",418925944,108.642857142857,0,0,1,1,8,1,1,59,4178,4178,-3796.16666666667,18,46.6666666666667,4.68806596264403,1,1,0,0,0
"48",418945040,0,1,0,0,1,7,1,1,32.125,1103.83333333333,1103.83333333333,-1011.84722222222,12,19.3333333333333,0,1,0,0,1,0
"49",418967852,325.928571428571,0,0,2,0,8,1,1,44,834.75,834.75,-763.9375,18,30.0833333333333,5.78667825131214,1,1,0,0,0
"50",418967903,0,0,0,1,0,8,1,1,47.45,1670.91666666667,1670.91666666667,-1531.67361111111,12,30.5833333333333,0,1,0,0,1,0
"51",418967905,0,0,0,1,0,8,1,1,27.75,1020.25,1020.25,-919.284722222222,12,32.1666666666667,0,1,0,0,1,0
"52",418982162,869.142857142857,1,0,2,1,7,1,1,45,6571.66666666667,7321.66666666667,-6773.94444444445,18,34.5,6.76750750432387,1,1,0,0,0
"53",418982431,0,0,1,2,1,7,1,1,8,347.5,347.5,-318.541666666667,16,37.5833333333333,0,0,0,1,0,0
